Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID,Output_list,Output_categories
Industrial systems with bearings,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Bayesian Deep Learning,Yes: uncertainty quantification and calibration techniques,2.0,2-s2.0-85204737869,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Deep learning (EfficientNet, ECA attention, OSVT)",No,4.0,2-s2.0-105001560068,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,TCLSTM (Temporal Convolutional Long-Short Term Memory network) with attention mechanism,No,4.0,2-s2.0-85127783577,['remaining useful life'],['Remaining Useful Life']
Motor testing in industrial processes,Industrial systems,,sensor data,Fault prediction,Graph neural networks,Heterogeneous Graph Neural Network,No,4.0,2-s2.0-105001564931,['fault prediction'],['Fault prediction']
Industrial systems with discrete event systems,Industrial systems,,structured data,Diagnosability enforcement,Rules and/or logic based,"Finite automaton, Integer Linear Programming","Yes: finite automaton, ILP",2.0,2-s2.0-85184795902,['diagnosability enforcement'],['Other']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,,No,3.0,2-s2.0-85169843736,['fault prediction'],['Fault prediction']
"Chemical process industrial systems (e.g., continuous stirred tank reactor)",Industrial systems,chemical,sensor data,Fault prediction,Data driven,Particle filtering,No,2.0,2-s2.0-85211088630,['fault prediction'],['Fault prediction']
Industrial machinery / Mechanical systems (specifically rolling bearings),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Hybrid,Simulation + data-driven methods,Yes: Rules and simulation-based models,2.0,2-s2.0-105002142086,['fault prediction'],['Fault prediction']
Process industries,Industrial systems,,"sensor data, internal variables",Fault prediction,Data driven,"['PCA', 'KICA', 'Autoencoder']","Yes: PCA, KICA, Autoencoder",3.0,2-s2.0-85202832299,['fault prediction'],['Fault prediction']
Industrial equipment / Manufacturing,Industrial systems,,sensor data,Fault prediction,Reinforcement learning,Deep Reinforcement Learning,No,3.0,2-s2.0-85095566109,['fault prediction'],['Fault prediction']
Semiconductor manufacturing,Manufacturing systems,,time series,Fault prediction,Data driven,"['Time series alignment kernels (TSAKs)', 'mRMR', 'Kernel Principal Component Analysis (KPCA)', 'Support Vector Machine (SVM)']",No,4.0,2-s2.0-85098786067,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"Normalizing flow, sequence-to-sequence (seq2seq) with gated recurrent units",No,4.0,2-s2.0-85089393014,['remaining useful life'],['Remaining Useful Life']
Industrial systems with sensor-based monitoring,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"Deep neural network, Multiobjective optimization",No,4.0,2-s2.0-85141595730,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,"sensor data, structured data","Fault prediction, Root cause analysis",Data driven,Partial Least Squares Discriminant Analysis,Yes: PLS-DA (Partial Least Squares Discriminant Analysis),4.0,2-s2.0-85078063487,"['fault prediction', ' root cause analysis']","['Fault prediction', 'Root cause analysis']"
Chip manufacturing,Chip manufacturing,,"time series, sensor data",Fault prediction,Data driven,Convolutional autoencoders,No,3.0,2-s2.0-85124106824,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Hybrid,"Fuzzy-Model, Dissipativity theory","Yes: Fuzzy-Model, Dissipativity theory",4.0,2-s2.0-105003034765,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Machine Learning (ML) techniques,No,4.0,2-s2.0-85216035067,['fault prediction'],['Fault prediction']
Chemical process industries,Industrial systems,chemical,sensor data,Data reconciliation / Sensor measurement correction,Bayesian,Gaussian process regression,Yes: Bayesian approach,2.0,2-s2.0-85202855995,['data reconciliation / sensor measurement correction'],['Other']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"HF response currents analysis, signal injection techniques, filters",No,1.0,2-s2.0-85129689952,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,images,Fault prediction,Data driven,Artificial Neural Networks (ANN),No,5.0,2-s2.0-85083006304,['fault prediction'],['Fault prediction']
Industrial automation,Industrial systems,,sensor data,Reliability levels,Data driven,Kalman filter-inspired algorithms,Yes: Interpretable algorithms based on reliability estimation,3.0,2-s2.0-85197058768,['reliability levels'],['Other']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Current residual-based diagnosis,Yes: Diagnostic variables are directly related to switches and fault localization,2.0,2-s2.0-85100861667,['fault prediction'],['Fault prediction']
Pharmaceutical facilities,Pharmaceutical facilities,,"sensor data, structured data",Fault prediction,Data driven,,No,4.0,2-s2.0-85206133433,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Physics informed,['Model Predictive Control'],Yes: Fault localization matrix and comparison of predicted and actual states,0.0,2-s2.0-85087760388,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,"Phase Space Warping, Principal Component Analysis",Yes: rules and physical description via phase space and principal component analysis,4.0,2-s2.0-85187284827,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Current reconstruction scheme,Yes: Rule-based / diagnosis logic,4.0,2-s2.0-85203522184,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Physics based,Magnetic equivalent circuit,Yes: Magnetic equivalent circuit,2.0,2-s2.0-85104663989,['fault prediction'],['Fault prediction']
Industrial bearings systems,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Variational Autoencoder (VAE), Deep Neural Networks (DNN)",No,2.0,2-s2.0-85112157491,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,CNN,No,4.0,2-s2.0-85127766032,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,time series,Anomaly detection,Data driven,1-D Convolutional AutoEncoders (1d-CAE),Yes: Localized Reconstruction Error (LRE),4.0,2-s2.0-85140769995,['anomaly detection'],['Fault detection']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Rules and/or logic based,Combinatory functions,Yes: Rules-based functions,1.0,2-s2.0-85078298365,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, time series",Remaining Useful Life,Data driven,"Deep transfer learning, Temporal convolutional network, Domain adversarial learning",No,4.0,2-s2.0-85101457242,['remaining useful life'],['Remaining Useful Life']
Manufacturing industry,Manufacturing systems,,"['sensor data', 'big data']",['Remaining Useful Life'],Data driven,Not specified,No,2.0,2-s2.0-85206145914,['remaining useful life'],['Remaining Useful Life']
Industrial processes,Industrial systems,,sensor data,Fault prediction,Data driven,Singular Value Monitoring,"Yes: The method involves analyzing sample singular values, which is interpretable",4.0,2-s2.0-85137064221,['fault prediction'],['Fault prediction']
Industrial process systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['Wavelet transforms', 'Canonical correlation analysis']",Yes: wavelet transforms and CCA are interpretable signal processing techniques,3.0,2-s2.0-85184961219,['fault prediction'],['Fault prediction']
Manufacturing systems,Manufacturing systems,,"sensor data, actuator signals",Fault prediction,Rules and/or logic based,Signal interpreted Petri nets,Yes: Petri nets,2.0,2-s2.0-85184962029,['fault prediction'],['Fault prediction']
Industrial plants,Industrial systems,,control input data,Detection of stealthy sensor injection attacks,Data driven,"Convex optimization, Linear Matrix Inequalities",Yes: convex optimization,3.0,2-s2.0-85184961342,['detection of stealthy sensor injection attacks'],['Fault detection']
Industrial processes,Industrial systems,,structured data,Fault prediction,Model-based,Model-based FDI algorithms,Yes: model-based algorithms,4.0,2-s2.0-85119718421,['fault prediction'],['Fault prediction']
Industrial production systems,Industrial systems,,"sensor data, discrete binary signals",Fault prediction,Data driven,Autoencoder,Yes: Reconstruction error thresholding,4.0,2-s2.0-85199521148,['fault prediction'],['Fault prediction']
Reconfigurable machinery / Manufacturing systems,Manufacturing systems,,sensor data,Fault prediction,Data driven,Sensor analysis and predictive analytics,No,3.0,2-s2.0-85213017552,['fault prediction'],['Fault prediction']
Industrial process monitoring,Industrial systems,,structured data,Fault prediction,Data driven,"Independent Component Analysis (ICA), Generalized Likelihood Ratio (GLR) test",Yes: ICA and GLR are interpretable techniques,2.0,2-s2.0-85092490804,['fault prediction'],['Fault prediction']
Industrial process monitoring (specifically in tailings treatment or mining operations),Industrial systems,,sensor data,Measurement reconstruction,Data driven,Principal Component Analysis (PCA),Yes: PCA,1.0,2-s2.0-85120856830,['measurement reconstruction'],['Other']
Manufacturing sector,Manufacturing systems,,time series,Remaining Useful Life,Data driven,"['Recurrent neural networks', 'LSTM', 'GRU']",No,4.0,2-s2.0-85105582632,['remaining useful life'],['Remaining Useful Life']
HVAC,HVAC,,sensor data,Fault prediction,Hybrid,"Online identification algorithms, Observer-based control",Yes: Observer-based fault detection and correction,4.0,2-s2.0-85137055167,['fault prediction'],['Fault prediction']
Manufacturing systems,Manufacturing systems,,sensor data,Fault prediction,Hybrid,"Digital twins, adaptive threshold procedures",Yes: Adaptive threshold-based decision making,3.0,2-s2.0-85108022535,['fault prediction'],['Fault prediction']
Industrial process systems,Industrial systems,,process data,Fault prediction,Data driven,Not explicitly specified,No,2.0,2-s2.0-85202870309,['fault prediction'],['Fault prediction']
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,"Empirical Mode Decomposition, Principal Component Analysis, Machine Learning algorithms",Yes: Statistical features and source separation provide interpretability,4.0,2-s2.0-85105556870,['fault prediction'],['Fault prediction']
Industrial manufacturing,Industrial systems,,time series,Anomaly detection,Data driven,VAR modeling,Yes: Variance analysis and time series interpretation,3.0,2-s2.0-85118127827,['anomaly detection'],['Fault detection']
Industrial plants,Industrial systems,,sensor data,Fault prediction,Data driven,"['Canonical Correlation Analysis', 'Artificial Neural Network']",No,2.0,2-s2.0-85206183544,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Asset performance,Data driven,Building simulation technology,Yes: Building simulation,3.0,2-s2.0-85105583629,['asset performance'],['Other']
Industrial pumps / Process equipment,Industrial systems,,sensor data,Wear detection,Rules and/or logic based,Simple algorithm (rule-based),Yes: Rules and logic,2.0,2-s2.0-85117922604,['wear detection'],['Fault detection']
Process industries,Industrial systems,,simulation data,Fault prediction,Data driven,"['Multivariate kriging', 'Support Vector Machine (SVM)']",No,3.0,2-s2.0-85137045900,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Physics informed,"['Resonance demodulation', 'Multi-resolution singular value decomposition (MRSVD)', 'Deconvolution']",Yes: normalized squared envelope spectrum,3.0,2-s2.0-85184962988,['fault prediction'],['Fault prediction']
