Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
"Industrial systems with electric motors, specifically bearing fault diagnosis in motor stator currents",Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"CNN, DWT, domain adaptation techniques",No,3.0,2-s2.0-85203792912
Chip manufacturing,Chip manufacturing,,"sensor data, time series",Remaining Useful Life,Data driven,"Deep global-local attention network, Multiscale dynamic time warping",Yes: Attention-based structure,4.0,2-s2.0-85171579958
Industrial systems / Machinery fault diagnosis,Industrial systems,,"sensor data, images",Fault prediction,Data driven,"Meta learning, Relation network (RN)",No,3.0,2-s2.0-85166756122
Mechanical transmission systems,Mechanical systems,,sensor data,Fault prediction,Physics based,Magnetic field distribution modeling,Yes: physics based models,3.0,2-s2.0-85123357378
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,"['Capsule Neural Network', 'LSTM']",No,4.0,2-s2.0-85114717756
Motion control applications,Other,,sensor data,Fault prediction,Rules and/or logic based,Transmissibility operators,Yes: transmissibility operators,2.0,2-s2.0-85123370238
Mechanical equipment / Lubrication systems,Mechanical systems,,sensor data,Fault prediction,Rules and/or logic based,"Digital lock-in amplifier (DLIA), inductive sensor modeling",Yes: rules and sensor principles,2.0,2-s2.0-85162685674
IoT networks,Sensor networks,,"sensor data, time series","Fault prediction, Self-calibration",Data driven,Deep reinforcement learning (DRL),No,3.0,2-s2.0-85161064441
Other,Other,,sensor data,Fault prediction,Rules and/or logic based,"Likelihood ratio test, Fading sequential probability ratio test (FSPRT), Generalized likelihood test (GLT)",Yes: Likelihood ratio tests and diagnostic methods are interpretable,1.0,2-s2.0-85199098195
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Not explicitly specified,No,3.0,2-s2.0-85132720186
Other,Other,,sensor data,Fault prediction,Data driven,Particle filter,No,1.0,2-s2.0-85118539917
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Envelope demodulation algorithm,Yes: Envelope demodulation algorithm,4.0,2-s2.0-85146227271
Vehicle systems / Automotive systems,Transportation systems,vehicles,sensor data,Fault prediction / Fault diagnosis,Data driven,Extended Kalman Filter (EKF),Yes: Analytical redundancy method and voting scheme,4.0,2-s2.0-85120920330
Marine engines,Marine,,sensor data,Remaining Useful Life,Data driven,LSTM networks,No,2.0,2-s2.0-85117133371
Industrial systems (specifically induction motors),Industrial systems,,"unstructured data (acoustic signals), features extracted from acoustic signals",Fault prediction / Failure identification,Hybrid,"['Relief-F algorithm', 'Hierarchical Adaptive Neuro-Fuzzy Inference System (HANFIS)']",Yes: Neuro-Fuzzy Inference System,4.0,2-s2.0-85177059856
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,BiGRU Autoencoder with Attention Mechanism and Skip Connection,No,4.0,2-s2.0-85101744482
Industrial machinery / Mechanical equipment,Industrial systems,,sensor data,Fault prediction,Physics based,Numerical simulation,Yes: Numerical simulation,2.0,2-s2.0-85131822226
Industrial motors / Electrical machinery,Industrial systems,,sensor data,Fault prediction,Data driven,"Support Vector Machine (SVM), PCA","Yes: PCA (interpretable), SVM (partially interpretable depending on kernel)",4.0,2-s2.0-85128660408
Industrial systems / Machinery / Bearings,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Variational Autoencoder (VAE),No,4.0,2-s2.0-85097187011
Aircraft gas turbine engines,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Hybrid,"['Particle filter', 'Entropy-based fusion']",Yes: Entropy-based fusion,4.0,2-s2.0-85115341006
Other,Other,,sensor data,Fault prediction,Data driven,"XGBoost, PCA",Yes: PCA (for feature importance and interpretability),2.0,2-s2.0-85176380160
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Not explicitly specified; likely signal processing and statistical analysis,No,3.0,2-s2.0-85149417189
Natural gas metering and flow monitoring in industrial systems,Industrial systems,,"mechanical signals, sensor data, signals from field stimuli (electric, magnetic, light, sound)","Flow rate estimation, Fault detection, Diagnostics",Data driven,"Signal processing, Estimation algorithms",Yes: interpretable signal processing and simple estimation techniques,2.0,2-s2.0-85123386763
Industrial machinery / Mechanical equipment,Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85123362874
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Rules and/or logic based,"Signal conditioning, phase-sensitive detection",Yes: phase-sensitive detection and signal filtering are interpretable techniques,3.0,2-s2.0-85148474363
Electrical power systems,Power systems,,sensor data,Fault prediction,Data driven,,No,2.0,2-s2.0-85210936926
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Physics based,"Full-element rectangular thin plate theory, acoustic-piezoelectric coupling simulation",Yes: physics-based models and simulations,4.0,2-s2.0-85207387953
Industrial gas sensing systems,Industrial systems,,unstructured data,Fault prediction,Physics based,Density Functional Theory (DFT),Yes: DFT calculations are interpretable and based on fundamental physics,2.0,2-s2.0-85168730122
"Industrial systems with vibration monitoring, likely rotating machinery or equipment in manufacturing or similar facilities",Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Convolutional Auto-Encoder (AE), Convolutional Neural Network (CNN)",No,4.0,2-s2.0-85128121657
Manufacturing / Industrial systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Transformer, Factorized Temporal-Channel Fusion (FTCF)",No,4.0,2-s2.0-85204672720
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Hybrid,Adaptive Sliding Mode Observer (SMO),Yes: System augmentation and transformation with detection parameters,2.0,2-s2.0-85204453475
Structural health monitoring,Structural health monitoring,,sensor data,Fault prediction,Physics based,Mode distribution simulation,Yes: physical analysis and simulations,1.0,2-s2.0-85171584505
Industrial systems / Lubricant oil monitoring,Industrial systems,Oil and Gas,sensor data,Fault prediction,Data driven,"Signal processing, multiplexing, sampling methods",Yes: Signal processing and multiplexing are interpretable techniques,2.0,2-s2.0-85102240697
Industrial systems / Mechanical equipment (specifically bearings),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Cycle-Consistent Adversarial Learning, MK-MMD",No,3.0,2-s2.0-85165268206
Spacecraft power distribution systems,Power systems,,sensor data,Fault prediction,Data driven,"Simulation-based validation (implied), optimization methods",Yes: Sensor fault detection and fault identification,2.0,2-s2.0-85140777379
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Convolutional neural network (CNN), Attention mechanisms",Yes: attention modules,4.0,2-s2.0-85161042137
Mechanical systems / Industrial equipment,Industrial systems,,sensor data,Fault prediction,Data driven,Inductive detection and signal processing techniques,Yes: Signal characteristics and detection logic,3.0,2-s2.0-85142772845
Mechanical systems / Rotating machinery,Mechanical systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"['Transformers', 'Attention mechanisms']",Yes: attention-based sensor fusion and fault pattern ranking provide interpretability,4.0,2-s2.0-85120538931
Nuclear power plants,Power systems,nuclear,sensor data,Anomaly detection and quantification,Data driven,Candidate anomaly pair-based dissimilarity measurement,Yes: Domain expert validation and interpretability of anomaly severity,1.0,2-s2.0-85149357802
Maritime industry,Marine,marine,sensor data,Fault prediction,Data driven,"['LSTM', 'Variational Autoencoder']",No,4.0,2-s2.0-85113212576
Navigation systems / Vehicle positioning,Navigation systems,,"sensor data, time series",Fault prediction,Data driven,"Kalman filter, Weighted least squares",Yes: Rules based and model-based techniques,2.0,2-s2.0-85098753122
Digital twins in industrial environments,Industrial systems,,"graph data, sensor data, time series","Fault prediction, Sensor fault detection, Fault isolation",Data driven,"Graph convolutional networks (GCN), Recurrent neural networks (RNN)",No,3.0,2-s2.0-85176297837
Chemical processing / Industrial process,Industrial systems,chemical,sensor data,Fault prediction,Data driven,Slow Feature Analysis (SFA),Yes: interpretability of feature extraction and fault detection methods,3.0,2-s2.0-85142832563
Industrial motors / Electrical machinery,Industrial systems,,sensor data,Fault prediction,Hybrid,"Multibasis energy pattern (MBEP), manifold-embedded distribution alignment (MEDA), evidence theory",Yes: Evidence theory,4.0,2-s2.0-85165251868
Superconducting systems,Other,,sensor data,Fault prediction,Physics based,Current mapping,Yes: physical and sensor-based visualization,0.0,2-s2.0-85129390950
IoT-based sensor fault detection systems,IoT systems,,sensor data,Fault prediction,Data driven,Extreme gradient boosting,Yes: interpretable AI / Explainable AI,2.0,2-s2.0-85177215507
Aerospace,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"Bayesian inference, posterior augmented classifier (implying probabilistic modeling)",Yes: Bayesian inference / probabilistic approach,4.0,2-s2.0-105002383662
Commercial buildings,Commercial buildings,,images,Fault prediction,Other,"Distributed Optical Frequency Domain Reflectometry (OFDR), Fiber Bragg Grating (FBG) sensors",Yes: Physical sensors and measurement techniques are inherently interpretable,4.0,2-s2.0-85099222963
Manufacturing systems,Manufacturing systems,,sensor data,Fault prediction,Rules and/or logic based,Integer Linear Programming,Yes: Integer Linear Programming,4.0,2-s2.0-105003029778
Other,Other,,sensor data,Fault prediction,Data driven,Not specified,No,1.0,2-s2.0-85184016550
Industrial systems (general),Industrial systems,,sensor data,Fault prediction,Data driven,Neural networks,No,4.0,2-s2.0-85100310133
Battery systems / Lithium-ion battery packs,Energy systems (not HVAC),Battery,sensor data,Fault prediction,Rules and/or logic based,Correlation coefficient method,Yes: correlation coefficient-based method,3.0,2-s2.0-105001076462
Aircraft engines and bearings (industrial machinery/equipment),Aicraft / Aviation / Aerospace,Rotating machinery / Bearings,sensor data,"['Fault prediction', 'Remaining Useful Life']",Data driven,Attention-based LSTM with sensor selection,No,4.0,2-s2.0-105003041260
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,"['Variational Modal Decomposition (VMD)', 'Wide+Narrow Visual Field Neural Networks (WNVNNs)']",No,3.0,2-s2.0-85117285859
Aerospace systems / Gas turbine engines,Aicraft / Aviation / Aerospace,,sensor data,"['Fault prediction', 'Remaining Useful Life']",Data driven,"Deep Neural Network (DNN), adversarial training",No,3.0,2-s2.0-105003035307
Air quality sensor networks,Sensor networks,,sensor data,Fault prediction,Unsupervised,"Autoencoder, Attention mechanism",Yes: Attention mechanism,2.0,2-s2.0-85204929598
Wireless sensor networks in industrial systems,Sensor networks,,sensor data,Anomaly detection,Data driven,"Autoencoder, Graph Neural Network, Gated Recurrent Unit",No,3.0,2-s2.0-85182936003
"Industrial systems with sensor monitoring, potentially process control or automation systems",Industrial systems,,structured data,Fault prediction,Rules and/or logic based,Integer nonlinear programming,Yes: rules and logic-based methods,2.0,2-s2.0-85132509695
Other,Other,,structured data,Fault prediction,Data driven,"['Reinforcement Learning', 'Dempster-Shafer theory']",Yes: Dempster-Shafer theory,0.0,2-s2.0-85146251075
HVAC,HVAC,,sensor data,Fault prediction,Data driven,"VAE, MPPCA",No,4.0,2-s2.0-85177073065
DC microgrid clusters,Other,,sensor data,Fault prediction,Data driven,,Yes: logical evaluation with data-integrity indices,2.0,2-s2.0-85103246043
Aerospace,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Hybrid,"['State-Space Model', 'Particle Filter', 'Neural Network (Extreme Learning Machine)']","Yes: Particle Filter, interpretability of degradation diagnosis and uncertainty estimation",4.0,2-s2.0-85078269687
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['Random forests', 'k-means', 'k-nearest neighbors', 'Naïve Bayes', 't-Distributed Stochastic Neighbor Embedding (t-SNE)']",Yes: Feature importance analysis and data visualization,5.0,2-s2.0-85090416528
Other,Other,,structured data,Fault prediction,Rules and/or logic based,"Synchronous diagnosability analysis, algorithms for fault-free behavior modeling",Yes: rules-based/diagnostic logic,2.0,2-s2.0-85083213170
Nuclear power plants,Power systems,nuclear,sensor data,Fault prediction,Data driven,"['LSTM', 'Autoencoder', 'Isolation Forest']",No,3.0,2-s2.0-85209733628
Other,Other,,sensor data,Fault prediction,Data driven,"Sensor network analytics, ambient noise analysis",Yes: interpretable subsurface structure learning,1.0,2-s2.0-85081661366
